order	vincode	pts_ref	gender	bu-bni-corr	pali_name	english_name	offence_type_pali	offence_type_eng	offence_grades	chapter_theme	chapter	vagga	theme	topic	purpose	critics	rule_pali	rule_english	no_offense_factors	offense_factors_bmc	notes	formulas bmc 1	sangha acts	useful_texts	suttacentral
299	BNI-PC34	Vin.4.258-4.345	Nuns		Naupaṭṭhāpana	Not Nursing	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Harmony 	Sick	Sangha harmony 	Bhikkhunis	Yā pana bhikkhunī dukkhitaṃ sahajīviniṃ neva  upaṭṭhaheyya, na upaṭṭhāpanāya ussukkaṃ kareyya,  pācittiyaṃ	Should any bhikkhuni not attend to her ailing student nor  make an effort to have her attended to, it is to be  confessed.	if there is an obstacle; if she searches but does not find a nurse; if she is sick; if there is an emergency; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
300	BNI-PC35	Vin.4.258-4.345	Nuns		Nikkaḍḍhana	Throwing Out a Monastic	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Harmony 	Aggressions 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī bhikkhuniyā upassayaṁ datvā kupitā anattamanā nikkaḍḍheyya vā nikkaḍḍhāpeyya vā, pācittiyan	If a nun gives a dwelling place to a nun, and then, in anger, throws her out or has her thrown out, she commits an offense entailing confession	if she throws out, or has thrown out, one who is shameless; if she throws out, or has thrown out, a requisite belonging to that person; if she throws out, or has thrown out, one who is insane; if she throws out, or has thrown out, a requisite belonging to that person; if she throws out, or has thrown out, one who is quarrelsome and argumentative, and who creates legal issues in the Sangha; if she throws out, or has thrown out, a requisite belonging to that person; if she throws out, or has thrown out, a pupil or student who is not conducting herself properly; if she throws out, or has thrown out, a requisite belonging to that person; if she is insane; if she is the first offender		Throws out: if she takes hold of her in a room and throws her out to the entryway, she commits an offense entailing confession. If she takes hold of her in the entryway and throws her outside, she commits an offense entailing confession. If she throws out one of her requisites, or she has it thrown out, she commits an offense of wrong conduct.  If she throws out one who is not fully ordained, or she has her thrown out, from a dwelling place with or without a door, she commits an offense of wrong conduct. If she throws out one of her requisites from that place, or she has it thrown out, she commits an offense of wrong conduct				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
301	BNI-PC36	Vin.4.258-4.345	Nuns		Saṁsaṭṭha	Socializing	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Speech	Seclusion 	Self restraint	Bhikkhunis 	Yā pana bhikkhunī saṁsaṭṭhā vihareyya gahapatinā vā gahapatiputtena vā sā bhikkhunī bhikkhunīhi evamassa vacanīyā— ‘māyye, saṁsaṭṭhā vihari gahapatināpi gahapatiputtenapi. Viviccāyye; vivekaññeva bhaginiyā saṅgho vaṇṇetī’ti. Evañca sā bhikkhunī bhikkhunīhi vuccamānā tatheva paggaṇheyya, sā bhikkhunī bhikkhunīhi yāvatatiyaṁ samanubhāsitabbā tassa paṭinissaggāya. Yāvatatiyañce samanubhāsīyamānā taṁ paṭinissajjeyya, iccetaṁ kusalaṁ; no ce paṭinissajjeyya, pācittiyan	If a nun is socializing with a householder or a householder’s offspring, the nuns should correct her like this: “Venerable, don’t socialize with householders or householders’ offspring. Be secluded, Venerable. The Sangha praises seclusion for the Sisters.” If that nun continues as before, the nuns should press her up to three times to make her stop. If she then stops, all is well. If she does not stop, she commits an offense entailing confession	if she has not been pressed; if she stops; if she is insane; if she is the first offender		Socializing: she socializes with improper bodily and verbal actions.	Please, Venerables, I ask the Sangha to listen. The nun so-and-so is socializing with householders and their offspring. And she keeps on doing it. If the Sangha is ready, it should press her to make her stop. This is the motion. Please, Venerables, I ask the Sangha to listen. The nun so-and-so is socializing with householders and their offspring. And she keeps on doing it. The Sangha presses her to make her stop. Any nun who approves of pressing nun so-and-so to make her stop should remain silent. Any nun who doesn’t approve should speak up. For the second time I speak on this matter … For the third time I speak on this matter  The Sangha has pressed nun so-and-so to stop. The Sangha approves and is therefore silent. I’ll remember it thus	motion + 3 proclamation 		https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
302	BNI-PC37	Vin.4.258-4.345	Nuns		Antoraṭṭha	Within Their Own Country	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Travel 	Wandering	Self restraint	Bhikkhunis 	Yā pana bhikkhunī antoraṭṭhe sāsaṅkasammate sappaṭibhaye asatthikā cārikaṁ careyya, pācittiyan	If a nun goes wandering without a group of travelers where it is considered risky and dangerous within her own country, she commits an offense entailing confession	if she travels with a group; if she travels where it is safe and free from danger; if there is an emergency; if she is insane; if she is the first offender		Risky: a place has been seen along that road where criminals are camping, eating, standing, sitting, or lying down. Dangerous: criminals have been seen along that road, injuring, robbing, or beating people				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
303	BNI-PC38	Vin.4.258-4.345	Nuns		Tiroraṭṭha	Outside Their Own Country	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Travel 	Wandering	Self restraint	Bhikkhunis 	Yā pana bhikkhunī tiroraṭṭhe sāsaṅkasammate sappaṭibhaye asatthikā cārikaṁ careyya, pācittiyan	If a nun goes wandering without a group of travelers where it is considered risky and dangerous outside her own country, she commits an offense entailing confession	if she travels with a group; if she travels where it is safe and free from danger; if there is an emergency; if she is insane; if she is the first offender		Outside her own country: in any country apart from the one where she is living				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
304	BNI-PC39	Vin.4.258-4.345	Nuns		Antovassa	During the Rainy Season	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Travel 	Wandering	Faith foster 	Laity 	Yā pana bhikkhunī antovassaṃ cārikaṃ careyya,  pācittiyaṃ	Should any bhikkhuni set out on a journey during the rains retreat, it is to be confessed	 if she goes on seven-day business; if she goes because something is disturbing her; if there is an emergency; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
305	BNI-PC40	Vin.4.258-4.345	Nuns		Cārikanapakkamana	Going Wandering	Pacittiya	Confession	Offense/ wrong doing 		4 Sharing 	4 Tuvaṭṭavaggo	Travel 	Wandering	Faith foster 	Laity 	Yā pana bhikkhunī antovassaṃ cārikaṃ careyya,  pācittiyaṃ	If a nun who has completed the rainy-season residence does not go wandering at least 65 to 80 kilometers, she commits an offense entailing confession	 if there is an obstacle; if she searches for a companion nun, but is unable to find one; if she is sick; if there is an emergency; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
306	BNI-PC41	Vin.4.258-4.345	Nuns		Rājāgāra	Royal Houses	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Discipline 	Improper 	Differ from laity	Laity 	Yā pana bhikkhunī rājāgāraṃ vā cittāgāraṃ vā ārāmaṃ  vā uyyānaṃ vā pokkharaṇiṃ vā dassanāya gaccheyya,  pācittiyaṃ.	Should any bhikkhuni go to see a royal pleasure house or a  picture gallery (any building decorated for amusement) or  a park or a pleasure grove or a lotus pond, it is to be  confessed.	if she sees it while remaining in a monastery; if she sees it while coming or going; if she goes when there is something to be done and then sees it; if there is an emergency; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
307	BNI-PC42	Vin.4.258-4.345	Nuns		Āsandiparibhuñjana	Using High Couches	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Properties 	Improper 	Differ from laity	Laity 	Yā pana bhikkhunī āsandiṃ vā pallaṅkaṃ vā  paribhuñjeyya, pācittiyaṃ	Should any bhikkhuni make use of a high chair or a couch  stuffed with hair, it is to be confessed	if she uses a high couch after cutting off the legs; if she uses a luxurious couch after removing the decorations with images of predatory animals; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
308	BNI-PC43	Vin.4.258-4.345	Nuns		Suttakantana	Spinning Yarn	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Requisites 	Improper 	Differ from laity	Laity 	Yā pana bhikkhunī āsandiṃ vā pallaṅkaṃ vā  paribhuñjeyya, pācittiyaṃ	Should any bhikkhuni make use of a high chair or a couch  stuffed with hair, it is to be confessed	if she spins yarn that has already been spun; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
309	BNI-PC44	Vin.4.258-4.345	Nuns		Gihiveyyāvacca	Serving Householders	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Requisites 	Improper 	Differ from laity	Bhikkhunis	Yā pana bhikkhunī gihiveyyāvaccaṃ kareyya, pācittiyaṃ	Should any bhikkhuni do a chore for a lay person, it is to be  confessed.	if it is a congee drink; if it is a meal for the Sangha; if it is to venerate a shrine; if she cooks congee, a meal, or fresh food for her own service-provider, or she washes a wrap garment or a turban for them; if she is insane; if she is the first offender.		Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
310	BNI-PC45	Vin.4.258-4.345	Nuns		Adhikaraṇa	Legal Issues	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Discipline 	Sangha act 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī bhikkhuniyā—‘ehāyye, imaṁ adhikaraṇaṁ vūpasamehī’ti vuccamānā—‘sādhū’ti paṭissuṇitvā sā pacchā anantarāyikinī neva vūpasameyya na vūpasamāya ussukkaṁ kareyya, pācittiyan	If, when a nun is requested by a nun to resolve a legal issue, she agrees, but then neither resolves it nor makes any effort to resolve it, then, if there were no obstacles, she commits an offense entailing confession	if there is an obstacle; if she searches, but is unable to find anyone to settle it; if she is sick; if there is an emergency; if she is insane; if she is the first offender		A legal issue: there are four kinds of legal issues: legal issues arising from disputes, legal issues arising from accusations, legal issues arising from offenses, legal issues arising from business To resolve a legal issue: to make a decision on a legal issue				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
311	BNI-PC46	Vin.4.258-4.345	Nuns		Bhojanadāna	Giving Food	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Requisites 	Food giving 	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī agārikassa vā paribbājakassa vā paribbājikāya vā sahatthā khādanīyaṁ vā bhojanīyaṁ vā dadeyya, pācittiyan	If a nun personally gives fresh or cooked food to a householder or a male wanderer or a female wanderer, she commits an offense entailing confession	if she does not give, but has it given; if she gives by placing it near the person; if she gives ointments for external use; if she is insane; if she is the first offender		Fresh food: apart from the five cooked foods and water and tooth cleaners, the rest is called “fresh food”. Cooked food: there are five kinds of cooked food: cooked grain, porridge, flour products, fish, and meat.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
312	BNI-PC47	Vin.4.258-4.345	Nuns		Āvasathacīvara	Monastery Robes	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Requisites 	Robes	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī āvasathacīvaraṁ anissajjitvā paribhuñjeyya, pācittiyan	If a nun does not relinquish a communal robe, but continues to use it, she commits an offense entailing confession	if she relinquishes it and then uses it; if she uses it again at the next turn; if there are no other menstruating nuns; if her robe has been stolen; if her robe has been lost; if there is an emergency; if she is insane; if she is the first offender		A communal robe: it is given specifically for the use of menstruating nuns. Does not relinquish, but continues to use it: if she uses it for two or three days, washes it on the fourth day, and then uses it again without relinquishing it to a nun or a trainee nun or a novice nun, she commits an offense entailing confession.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
313	BNI-PC48	Vin.4.258-4.345	Nuns		Āvasathavihāra	Lodgings	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Dwelling 	Wandering	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī āvasathaṁ anissajjitvā cārikaṁ pakkameyya, pācittiyan	If a nun goes wandering without relinquishing her lodging, she commits an offense entailing confession	if she relinquishes it and then goes; if there is an obstacle; if she searches, but is unable to find anyone to relinquish it to; if she is sick; if there is an emergency; if she is insane; if she is the first offender.						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
314	BNI-PC49	Vin.4.258-4.345	Nuns		Tiracchānavijjāpariyāpuṇana	Learning Pointless Knowledge	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Discipline 	Teaching	Differ from laity	Laity	Yā pana bhikkhunī tiracchānavijjaṃ pariyāpuṇeyya,  pācittiyaṃ	If a nun studies worldly subjects, she commits an offense entailing confession.	 if she learns writing; if she learns protective verses; if she learns verses for the purpose of protection; if she is insane; if she is the first offender.	Worldly subjects: whatever is external to the Buddha’s Teaching, not connected with the goal.	Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
315	BNI-PC50	Vin.4.258-4.345	Nuns		Tiracchānavijjāvācana	Teaching Pointless Knowledge	Pacittiya	Confession	Offense/ wrong doing 		5 Picture gallery 	5 Cittāgāravaggo	Discipline 	Teaching	Differ from laity	Laity	Yā pana bhikkhunī tiracchānavijjaṃ vāceyya, pācittiyaṃ	If a nun teaches worldly subjects, she commits an offense entailing confession	 if she teaches writing; if she teaches protective verses; if she teaches verses for the purpose of protection; if she is insane; if she is the first offender.	Worldly subjects: whatever is external to the Buddha’s Teaching, not connected with the goal.	Applicable to Bhikkhu as dukkata offences				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
316	BNI-PC51	Vin.4.258-4.345	Nuns		Ārāmapavisana	Entering Monasteries	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Celibacy 	Sexes segregation 	Sangha harmony 	Bhikkhus 	Yā pana bhikkhunī jānaṁ sabhikkhukaṁ ārāmaṁ anāpucchā paviseyya, pācittiyan	If a nun, knowing that there are monks in a monastery, enters it without asking permission, she commits an offense entailing confession	 if she enters after asking permission of an available monk; if, when there is no available monk, she enters without asking permission; if she goes while looking at the head of a nun in front of her; if she is going to where the nuns have gathered; if a path goes through the monastery; if she is sick; if there is an emergency; if she is insane; if she is the first offender.		There are monks in a monastery: even where monks stay at the foot of a tree. Enters it without asking permission: if she crosses the boundary of an enclosed monastery without asking permission of a monk or a novice monk or a monastery worker, she commits an offense entailing confession. If she enters the vicinity of an unenclosed monastery, she commits an offense entailing confession.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
317	BNI-PC52	Vin.4.258-4.345	Nuns		Bhikkhuakkosana	Abusing Monks	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Speech	Aggressions 	Sangha harmony 	Bhikkunis 	Yā pana bhikkhunī bhikkhuṁ akkoseyya vā paribhāseyya vā, pācittiyan	If a nun abuses or reviles a monk, she commits an offense entailing confession	 if she is aiming at something beneficial; if she is aiming at giving a teaching; if she is aiming at giving an instruction; if she is insane; if she is the first offender		If she abuses or reviles someone who is not fully ordained, she commits an offense of wrong conduct.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
318	BNI-PC53	Vin.4.258-4.345	Nuns		Gaṇaparibhāsana	Reviling a Group	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Speech	Aggressions 	Sangha harmony 	Bhikkunis 	Yā pana bhikkhunī caṇḍīkatā gaṇaṁ paribhāseyya, pācittiyan	If a furious nun reviles the community, she commits an offense entailing confession	 if she is aiming at something beneficial; if she is aiming at giving a teaching; if she is aiming at giving an instruction; if she is insane; if she is the first offender		The community: the Sangha of nuns is what is meant.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
318	BNI-PC54	Vin.4.70-4.90	Nuns		Pavārita	Inviting 	Pacittiya	Confession	Offense/ wrong doing 	Food 	4 Food	4 Bhojana-Vaggo	Food 	Food receiving 	Easy to support 	Laity  	Yā pana bhikkhunī nimantitā vā pavāritā vā khādanīyaṁ vā bhojanīyaṁ vā khādeyya vā bhuñjeyya vā, pācittiyan	If a nun, who has been invited to a meal, refuses an invitation to eat more, and then eats fresh or cooked food, she commits an offense entailing confession	if she has refused an offer to eat more, but not an invitation; if she drinks congee; if she eats more after getting permission from the person who invited her; if, when there is a reason, she uses post-midday tonics, seven-day tonics, or lifetime tonics; if she is insane; if she is the first offender	1) Object: staple or non-staple food that is not leftover. 2) Effort: One eats the food after having eaten and turned down an offer of further food.	A donor could feel insulted if bhikkhus refused further offers of food, finished their meal, and then went to eat someplace else. It is also designed to protect bhikkhus from being forced to go hungry by stingy or impoverished donors.	what is left over should be made left over, saying, ‘All this is enough.		Bu Pc 33, 36; Cv 6 10.1 Famine times  Mv 6 18.4, 6 9.2, 6 20.4, resinded Mv 6 32.2	https://suttacentral.net/pli-tv-bu-vb-pc?view=normal
320	BNI-PC55	Vin.4.258-4.345	Nuns		Kulamaccharinī	Stingy With Families	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Food 	Food receiving 	Easy to support 	Laity  	Yā pana bhikkhunī kulamaccharinī assa, pācittiyan	If a nun keeps a family to herself, she commits an offense entailing confession	Keeps for herself: if she thinks, “What can I do so that other nuns don’t come?” and she then speaks disparagingly about that family to the nuns, she commits an offense entailing confession. If she speaks disparagingly about that family to the nuns, she commits an offense entailing confession		if she is not keeping a family to herself, but describes the drawbacks as they are; if she is insane; if she is the first offender				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
321	BNI-PC56	Vin.4.258-4.345	Nuns		Abhikkhukāvāsa	Staying Apart From Monks	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Dwelling 	Protection 	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī abhikkhuke āvāse vassaṁ vaseyya, pācittiyan	If a nun spends the rainy-season residence in a monastery without monks, she commits an offense entailing confession	if the monks who entered the rainy-season residence there depart or disrobe or die or join another group; if there is an emergency; if she is insane; if she is the first offender		A monastery without monks: she is not able to go to the instruction or to a formal meeting of the community. If she thinks, “I’ll stay here for the rainy-season residence,” and she prepares a dwelling, sets out water for drinking and water for washing, and sweeps the yard, she commits an offense of wrong conduct. At dawn, she commits an offense entailing confession				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
322	BNI-PC57	Vin.4.258-4.345	Nuns		Apavāraṇā	Not Inviting	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Dwelling 	Invitations 	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī vassaṁvuṭṭhā ubhatosaṅghe tīhi ṭhānehi na pavāreyya diṭṭhena vā sutena vā parisaṅkāya vā, pācittiyan	If a nun who has completed the rainy-season residence does not invite correction from both Sanghas in regard to three things—what has been seen, heard, or suspected—she commits an offense entailing confession	if there is an obstacle; if she searches, but does not find anyone to invite for correction; if she is sick; if there is an emergency; if she is insane; if she is the first offender		Who has completed the rainy-season residence: who has completed the first three or the last three months of the rainy-season residence. If she thinks, “I won’t invite correction from both Sanghas in regard to three things—what has been seen, heard, or suspected,” then by the mere fact of abandoning her duty, she commits an offense entailing confession.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
323	BNI-PC58	Vin.4.258-4.345	Nuns		Ovāda	Instruction	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Instruction 	Admonish 	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī ovādāya vā saṁvāsāya vā na gaccheyya, pācittiyan	If a nun does not go to the instruction or to a formal meeting of the community, she commits an offense entailing confession	if there is an obstacle; if she searches for a companion nun, but does not find one; if she is sick; if there is an emergency; if she is insane; if she is the first offender		The instruction: the eight important principles. The community: joint legal procedures, a joint recitation, the same training. If she thinks, “I won’t go to the instruction or to formal meetings of the community,” then by the mere fact of abandoning her duty, she commits an offense entailing confession				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
324	BNI-PC59	Vin.4.258-4.345	Nuns		Ovādūpasaṅkamana	Going to the Instruction	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Instruction 	Admonish 	Regulate Relationships 	Bhikkhus 	Anvaddhamāsaṁ bhikkhuniyā bhikkhusaṅghato dve dhammā paccāsīsitabbā—uposathapucchakañca ovādūpasaṅkamanañca. Taṁ atikkāmentiyā pācittiyan	Every half-month a nun should seek two things from the Sangha of monks: asking it about the observance day and going to it for the instruction. If she lets the half-month pass, she commits an offense entailing confession	if there is an obstacle; if she searches for a companion nun, but does not find one; if she is sick; if there is an emergency; if she is insane; if she is the first offender.		Every half-month: every observance day. The observance day: there are two observance days: the fourteenth and the fifteenth day of the lunar half-month. The instruction: the eight important principles. If she thinks, “I won’t enquire about the observance day, nor ask for the instruction,” then by the mere fact of abandoning her duty, she commits an offense entailing confession.				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
325	BNI-PC60	Vin.4.258-4.345	Nuns		Pasākhejāta	Medical Treament Below the Navel	Pacittiya	Confession	Offense/ wrong doing 		6 Monastery	6 Ārāmavaggo	Celibacy 	Protection 	Regulate Relationships 	Bhikkhunis 	Yā pana bhikkhunī pasākhe jātaṁ gaṇḍaṁ vā rudhitaṁ vā anapaloketvā saṅghaṁ vā gaṇaṁ vā purisena saddhiṁ ekenekā bhedāpeyya vā phālāpeyya vā dhovāpeyya vā ālimpāpeyya vā bandhāpeyya vā mocāpeyya vā, pācittiyan	If a nun, alone with a man, without getting permission from the Sangha or a group, has an abscess or a wound situated on the lower part of her body ruptured by him, or split open, washed, anointed, bandaged, or unwrapped by him, she commits an offense entailing confession	if she gets permission and then has it ruptured, split open, washed, anointed, bandaged, or unwrapped; if she has a female companion who understands; if she is insane; if she is the first offender.		The lower part of the body: below the navel and above the knees				https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
326	BNI-PC61	Vin.4.258-4.345	Nuns		Gabbhinī	Ordaining a Pregnant Woman	Pacittiya	Confession	Offense/ wrong doing 		7 Pregnant Woman	7 Gabbhinivaggo	Ordaining 	Ordaninig 	Regulate Relationships 	Laity 	Yā pana bhikkhunī gabbhiniṁ vuṭṭhāpeyya, pācittiyan	If a nun gives the full admission to a pregnant woman, she commits an offense entailing confession	if she gives the full admission to a woman who is pregnant, but she does not perceive her as such; if she gives the full admission to a woman who is not pregnant, and she does not perceive her as such; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
327	BNI-PC62	Vin.4.258-4.345	Nuns		Pāyantī	Ordaining a Breastfeeding Woman	Pacittiya	Confession	Offense/ wrong doing 		7 Pregnant Woman	7 Gabbhinivaggo	Ordaining 	Ordaninig 	Regulate Relationships 	Laity 	Yā pana bhikkhunī pāyantiṁ vuṭṭhāpeyya, pācittiyan	If a nun gives the full admission to a woman who is breastfeeding, she commits an offense entailing confession	if she gives the full admission to a woman who is breastfeeding, but she does not perceive her as such; if she gives the full admission to a woman who is not breastfeeding, and she does not perceive her as such; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
328	BNI-PC63	Vin.4.258-4.345	Nuns		Asikkhita-sikkhamānā	Ordaining Untrained Candidate	Pacittiya	Confession	Offense/ wrong doing 		7 Pregnant Woman	7 Gabbhinivaggo	Ordaining 	Ordaninig 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī dve vassāni chasu dhammesu asikkhitasikkhaṁ sikkhamānaṁ vuṭṭhāpeyya, pācittiyan	If a nun gives the full admission to a trainee nun who has not trained in the six rules for two years, she commits an offense entailing confession	if she gives the full admission to a trainee nun who has trained in the six rules for two years; if she is insane; if she is the first offender		That trainee nun should then be told to say this: ‘I undertake to abstain from killing living beings for two years without transgression. I undertake to abstain from stealing for two years without transgression. I undertake to abstain from sexual activity for two years without transgression. I undertake to abstain from lying for two years without transgression. I undertake to abstain from alcohol, which causes heedlessness, for two years without transgression. I undertake to abstain from eating at the wrong time for two years without transgression. Who has not trained: the training has not been given to her, or the training has been given to her, but she has failed in it	Venerables, I, so-and-so, am a trainee nun under Venerable so-and-so. I ask the Sangha for approval to train for two years in the six rules.’ And she should ask a second and a third time.  A competent and capable nun should then inform the Sangha:  ‘Please, Venerables, I ask the Sangha to listen. So-and-so, who is a trainee nun under Venerable so-and-so, is asking the Sangha for approval to train in the six rules for two years. If the Sangha is ready, it should give approval to trainee nun so-and-so to train in the six rules for two years. This is the motion.  Please, Venerables, I ask the Sangha to listen. So-and-so, who is a trainee nun under Venerable so-and-so, is asking the Sangha for approval to train in the six rules for two years. The Sangha gives approval to trainee nun so-and-so to train in the six rules for two years. Any nun who approves of giving approval to trainee nun so-and-so to train in the six rules for two years should remain silent. Any nun who doesn’t approve should speak up.  The Sangha has given approval to trainee nun so-and-so to train in the six rules for two years. The Sangha approves and is therefore silent. I’ll remember it thus.	motion + 3 proclamation 		https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
329	BNI-PC64	Vin.4.258-4.345	Nuns		Sikkhita-sikkhamānā-asammata	Ordaining Trained Candidate Without Approval	Pacittiya	Confession	Offense/ wrong doing 		7 Pregnant Woman	7 Gabbhinivaggo	Ordaining 	Ordaninig 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī dve vassāni chasu dhammesu sikkhitasikkhaṁ sikkhamānaṁ saṅghena asammataṁ vuṭṭhāpeyya, pācittiyan	If a nun gives the full admission to a trainee nun who has trained in the six rules for two years, but who has not been approved by the Sangha, she commits an offense entailing confession				Who has not been approved: approval to be fully admitted has not been given though a legal procedure consisting of one motion and one announcement. Venerables, I, the trainee nun so-and-so, who has trained for two years in the six rules under Venerable so-and-so, ask the Sangha for approval to be fully admitted.’ And she should ask a second and a third time. A competent and capable nun should then inform the Sangha:  ‘Please, Venerables, I ask the Sangha to listen. This trainee nun so-and-so, who has trained under Venerable so-and-so for two years in the six rules, is asking the Sangha for approval to be fully admitted. If the Sangha is ready, it should give approval for the trainee nun so-and-so, who has trained for two years in the six rules, to be fully admitted. This is the motion.  Please, Venerables, I ask the Sangha to listen. This trainee nun so-and-so, who has trained under Venerable so-and-so for two years in the six rules, is asking the Sangha for approval to be fully admitted. The Sangha gives approval for the trainee nun so-and-so, who has trained for two years in the six rules, to be fully admitted. Any nun who approves of giving approval for the trainee nun so-and-so, who has trained for two years in the six rules, to be fully admitted should remain silent. Any nun who doesn’t approve should speak up.  The Sangha has given approval for the trainee nun so-and-so, who has trained for two years in the six rules, to be fully admitted. The Sangha approves and is therefore silent. I’ll remember it thus	motion + 3 proclamation 		https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
330	BNI-PC65	Vin.4.258-4.345	Nuns		Ūnadvādasavassa-gihigata	Ordaining Married Girls Under Twelve	Pacittiya	Confession	Offense/ wrong doing 		7 Pregnant Woman	7 Gabbhinivaggo	Ordaining 	Ordaninig 	Sangha harmony 	Bhikkhunis 	Yā pana bhikkhunī ūnadvādasavassaṁ gihigataṁ vuṭṭhāpeyya, pācittiyan	If a nun gives the full admission to a married girl who is less than twelve years old, she commits an offense entailing confession	 if she gives the full admission to a girl less than twelve years old, but she perceives her as more; if she gives the full admission to a girl more than twelve years old, and she perceives her as more; if she is insane; if she is the first offender						https://suttacentral.net/pli-tv-bi-vb-pc?view=dense
